uniport_id,uniport_name
Q9UBK8,Methionine synthase reductase
Q99707,Methionine synthase
P50579,Methionine aminopeptidase 2
Q93088,Betaine--homocysteine S-methyltransferase 1
Q9H2M3,S-methylmethionine--homocysteine S-methyltransferase BHMT2
P00374,Dihydrofolate reductase
P31939,Bifunctional purine biosynthesis protein PURH
P20711,Aromatic-L-amino-acid decarboxylase
P15538,"Cytochrome P450 11B1, mitochondrial"
P00183,Camphor 5-monooxygenase
P29474,"Nitric oxide synthase, endothelial"
Q12791,Calcium-activated potassium channel subunit alpha-1
Q16558,Calcium-activated potassium channel subunit beta-1
Q9Y691,Calcium-activated potassium channel subunit beta-2
Q9NPA1,Calcium-activated potassium channel subunit beta-3
Q86W47,Calcium-activated potassium channel subunit beta-4
Q92952,Small conductance calcium-activated potassium channel protein 1
Q9H2S1,Small conductance calcium-activated potassium channel protein 2
Q9UGI6,Small conductance calcium-activated potassium channel protein 3
Q16322,Potassium voltage-gated channel subfamily A member 10
P16389,Potassium voltage-gated channel subfamily A member 2
P22459,Potassium voltage-gated channel subfamily A member 4
P22460,Potassium voltage-gated channel subfamily A member 5
P17658,Potassium voltage-gated channel subfamily A member 6
Q14721,Potassium voltage-gated channel subfamily B member 1
Q92953,Potassium voltage-gated channel subfamily B member 2
P48547,Potassium voltage-gated channel subfamily C member 1
Q96PR1,Potassium voltage-gated channel subfamily C member 2
Q14003,Potassium voltage-gated channel subfamily C member 3
Q03721,Potassium voltage-gated channel subfamily C member 4
Q9NSA2,Potassium voltage-gated channel subfamily D member 1
P15382,Potassium voltage-gated channel subfamily E member 1
Q9Y6J6,Potassium voltage-gated channel subfamily E member 2
Q9Y6H6,Potassium voltage-gated channel subfamily E member 3
Q8WWG9,Potassium voltage-gated channel subfamily E member 4
Q9UJ90,Potassium voltage-gated channel subfamily E regulatory beta subunit 5
Q9H3M0,Potassium voltage-gated channel subfamily F member 1
Q9UIX4,Potassium voltage-gated channel subfamily G member 1
Q9UJ96,Potassium voltage-gated channel subfamily G member 2
Q8TAE7,Potassium voltage-gated channel subfamily G member 3
Q8TDN1,Potassium voltage-gated channel subfamily G member 4
Q9ULD8,Potassium voltage-gated channel subfamily H member 3
Q9UQ05,Potassium voltage-gated channel subfamily H member 4
Q8NCM2,Potassium voltage-gated channel subfamily H member 5
Q96L42,Potassium voltage-gated channel subfamily H member 8
P51787,Potassium voltage-gated channel subfamily KQT member 1
P56696,Potassium voltage-gated channel subfamily KQT member 4
Q9NR82,Potassium voltage-gated channel subfamily KQT member 5
Q96KK3,Potassium voltage-gated channel subfamily S member 1
Q9BQ31,Potassium voltage-gated channel subfamily S member 3
Q6PIU1,Potassium voltage-gated channel subfamily V member 1
Q8TDN2,Potassium voltage-gated channel subfamily V member 2
Q14722,Voltage-gated potassium channel subunit beta-1
Q13303,Voltage-gated potassium channel subunit beta-2
Q14500,ATP-sensitive inward rectifier potassium channel 12
Q9UNX9,ATP-sensitive inward rectifier potassium channel 14
Q9Y6Y9,Lymphocyte antigen 96
P16220,Cyclic AMP-responsive element-binding protein 1
O00206,Toll-like receptor 4
Q51911,Peptostreptococcal albumin-binding protein
P49019,Hydroxycarboxylic acid receptor 3
Q15274,Nicotinate-nucleotide pyrophosphorylase [carboxylating]
P40261,Nicotinamide N-methyltransferase
P54289,Voltage-dependent calcium channel subunit alpha-2/delta-1
P30532,Neuronal acetylcholine receptor subunit alpha-5
Q15825,Neuronal acetylcholine receptor subunit alpha-6
Q9UGM1,Neuronal acetylcholine receptor subunit alpha-9
Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10
Q05901,Neuronal acetylcholine receptor subunit beta-3
P28329,Choline O-acetyltransferase
O43497,Voltage-dependent T-type calcium channel subunit alpha-1G
O95180,Voltage-dependent T-type calcium channel subunit alpha-1H
Q9NY47,Voltage-dependent calcium channel subunit alpha-2/delta-2
P00439,Phenylalanine-4-hydroxylase
P50993,Sodium/potassium-transporting ATPase subunit alpha-2
P13637,Sodium/potassium-transporting ATPase subunit alpha-3
P42262,Glutamate receptor 2
Q13002,"Glutamate receptor ionotropic, kainate 2"
Q16647,Prostacyclin synthase
Q96RD7,Pannexin-1
Q9NYV7,Taste receptor type 2 member 16
P26358,DNA (cytosine-5)-methyltransferase 1
P06401,Progesterone receptor
P08235,Mineralocorticoid receptor
Q99677,Lysophosphatidic acid receptor 4
P43657,Lysophosphatidic acid receptor 6
P51575,P2X purinoceptor 1
Q9UBL9,P2X purinoceptor 2
P56373,P2X purinoceptor 3
Q99571,P2X purinoceptor 4
Q93086,P2X purinoceptor 5
O15547,P2X purinoceptor 6
Q99572,P2X purinoceptor 7
P47900,P2Y purinoceptor 1
Q96G91,P2Y purinoceptor 11
Q9BPV8,P2Y purinoceptor 13
Q15391,P2Y purinoceptor 14
P41231,P2Y purinoceptor 2
P51582,P2Y purinoceptor 4
Q86VZ1,P2Y purinoceptor 8
O00398,Putative P2Y purinoceptor 10
P08631,Tyrosine-protein kinase HCK
P48736,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"
Q6NUS8,UDP-glucuronosyltransferase 3A1
P25705,"ATP synthase subunit alpha, mitochondrial"
P06576,"ATP synthase subunit beta, mitochondrial"
P36542,"ATP synthase subunit gamma, mitochondrial"
P11309,Serine/threonine-protein kinase pim-1
Q9AIU0,HTH-type transcriptional regulator TtgR
Q6NVY1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
Q5G940,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
O94768,Serine/threonine-protein kinase 17B
Q16678,Cytochrome P450 1B1
P60709,"Actin, cytoplasmic 1"
P68400,Casein kinase II subunit alpha
P67870,Casein kinase II subunit beta
O00303,Eukaryotic translation initiation factor 3 subunit F
P07900,Heat shock protein HSP 90-alpha
P54652,Heat shock-related 70 kDa protein 2
Q9Y230,RuvB-like 2
Q15393,Splicing factor 3B subunit 3
P22314,Ubiquitin-like modifier-activating enzyme 1
P16152,Carbonyl reductase [NADPH] 1
P17676,CCAAT/enhancer-binding protein beta
O60733,85/88 kDa calcium-independent phospholipase A2
P47712,Cytosolic phospholipase A2
Q15111,Inactive phospholipase C-like protein 1
O00180,Potassium channel subfamily K member 1
Q9Y257,Potassium channel subfamily K member 6
P14770,Platelet glycoprotein IX
O15392,Baculoviral IAP repeat-containing protein 5
P26676,RNA-directed RNA polymerase L
P16502,RNA-directed RNA polymerase catalytic subunit
P12823,Genome polyprotein
Q969G6,Riboflavin kinase
P0AFU8,Riboflavin synthase
P30043,Flavin reductase (NADPH)
P0A8V2,DNA-directed RNA polymerase subunit beta
O15111,Inhibitor of nuclear factor kappa-B kinase subunit alpha
Q9UPY5,Cystine/glutamate transporter
P24752,"Acetyl-CoA acetyltransferase, mitochondrial"
P24557,Thromboxane-A synthase
P04054,Phospholipase A2
P19099,"Cytochrome P450 11B2, mitochondrial"
P18405,3-oxo-5-alpha-steroid 4-dehydrogenase 1
P31213,3-oxo-5-alpha-steroid 4-dehydrogenase 2
Q9H8P0,Polyprenol reductase
Q9Y698,Voltage-dependent calcium channel gamma-2 subunit
O60359,Voltage-dependent calcium channel gamma-3 subunit
Q9UBN1,Voltage-dependent calcium channel gamma-4 subunit
Q9UF02,Voltage-dependent calcium channel gamma-5 subunit
Q9BXT2,Voltage-dependent calcium channel gamma-6 subunit
P62955,Voltage-dependent calcium channel gamma-7 subunit
